PassengerId,Male,Pclass,Fare,FarePerPerson,Title,AgeUsingMeanTitle,AgeClass,SexClass,FamilySize,AgeSquared,AgeClassSquared,Survived
70,1,3,8.6625,2.8874999999999997,3,26.0,78.0,3,2,676.0,6084.0,0
71,1,2,10.5,10.5,3,32.0,64.0,2,0,1024.0,4096.0,0
72,0,3,46.9,5.8625,3,16.0,48.0,0,7,256.0,2304.0,0
73,1,2,73.5,73.5,3,21.0,42.0,2,0,441.0,1764.0,0
74,1,3,14.4542,7.2271,3,26.0,78.0,3,1,676.0,6084.0,0
75,1,3,56.4958,56.4958,3,32.0,96.0,3,0,1024.0,9216.0,1
76,1,3,7.65,7.65,3,25.0,75.0,3,0,625.0,5625.0,0
77,1,3,7.8958,7.8958,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
78,1,3,8.05,8.05,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
79,1,2,29.0,9.666666666666666,3,0.83,1.66,2,2,0.6889,2.7556,1
80,0,3,12.475,12.475,3,30.0,90.0,0,0,900.0,8100.0,1
81,1,3,9.0,9.0,3,22.0,66.0,3,0,484.0,4356.0,0
82,1,3,9.5,9.5,3,29.0,87.0,3,0,841.0,7569.0,1
83,0,3,7.7875,7.7875,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
84,1,1,47.1,47.1,3,28.0,28.0,1,0,784.0,784.0,0
85,0,2,10.5,10.5,3,17.0,34.0,0,0,289.0,1156.0,1
86,0,3,15.85,3.9625,3,33.0,99.0,0,3,1089.0,9801.0,1
87,1,3,34.375,6.875,3,16.0,48.0,3,4,256.0,2304.0,0
88,1,3,8.05,8.05,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
89,0,1,263.0,43.833333333333336,3,23.0,23.0,0,5,529.0,529.0,1
90,1,3,8.05,8.05,3,24.0,72.0,3,0,576.0,5184.0,0
91,1,3,8.05,8.05,3,29.0,87.0,3,0,841.0,7569.0,0
92,1,3,7.8542,7.8542,3,20.0,60.0,3,0,400.0,3600.0,0
93,1,1,61.175,30.5875,3,46.0,46.0,1,1,2116.0,2116.0,0
94,1,3,20.575,5.14375,3,26.0,78.0,3,3,676.0,6084.0,0
95,1,3,7.25,7.25,3,59.0,177.0,3,0,3481.0,31329.0,0
96,1,3,8.05,8.05,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
97,1,1,34.6542,34.6542,3,71.0,71.0,1,0,5041.0,5041.0,0
98,1,1,63.3583,31.67915,3,23.0,23.0,1,1,529.0,529.0,1
99,0,2,23.0,11.5,3,34.0,68.0,0,1,1156.0,4624.0,1
100,1,2,26.0,13.0,3,34.0,68.0,2,1,1156.0,4624.0,0
101,0,3,7.8958,7.8958,3,28.0,84.0,0,0,784.0,7056.0,0
102,1,3,7.8958,7.8958,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
103,1,1,77.2875,38.64375,3,21.0,21.0,1,1,441.0,441.0,0
104,1,3,8.6542,8.6542,3,33.0,99.0,3,0,1089.0,9801.0,0
105,1,3,7.925,2.6416666666666666,3,37.0,111.0,3,2,1369.0,12321.0,0
106,1,3,7.8958,7.8958,3,28.0,84.0,3,0,784.0,7056.0,0
107,0,3,7.65,7.65,3,21.0,63.0,0,0,441.0,3969.0,1
108,1,3,7.775,7.775,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,1
109,1,3,7.8958,7.8958,3,38.0,114.0,3,0,1444.0,12996.0,0
110,0,3,24.15,12.075,3,28.68708762886598,86.06126288659794,0,1,822.9489966262356,7406.540969636121,1
111,1,1,52.0,52.0,3,47.0,47.0,1,0,2209.0,2209.0,0
112,0,3,14.4542,7.2271,3,14.5,43.5,0,1,210.25,1892.25,0
113,1,3,8.05,8.05,3,22.0,66.0,3,0,484.0,4356.0,0
114,0,3,9.825,4.9125,3,20.0,60.0,0,1,400.0,3600.0,0
115,0,3,14.4583,14.4583,3,17.0,51.0,0,0,289.0,2601.0,0
116,1,3,7.925,7.925,3,21.0,63.0,3,0,441.0,3969.0,0
117,1,3,7.75,7.75,3,70.5,211.5,3,0,4970.25,44732.25,0
118,1,2,21.0,10.5,3,29.0,58.0,2,1,841.0,3364.0,0
119,1,1,247.5208,123.7604,3,24.0,24.0,1,1,576.0,576.0,0
120,0,3,31.275,4.4678571428571425,3,2.0,6.0,0,6,4.0,36.0,0
121,1,2,73.5,24.5,3,21.0,42.0,2,2,441.0,1764.0,0
122,1,3,8.05,8.05,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
123,1,2,30.0708,15.0354,3,32.5,65.0,2,1,1056.25,4225.0,0
124,0,2,13.0,13.0,3,32.5,65.0,0,0,1056.25,4225.0,1
125,1,1,77.2875,38.64375,3,54.0,54.0,1,1,2916.0,2916.0,0
126,1,3,11.2417,5.62085,3,12.0,36.0,3,1,144.0,1296.0,1
127,1,3,7.75,7.75,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
128,1,3,7.1417,7.1417,3,24.0,72.0,3,0,576.0,5184.0,1
129,0,3,22.3583,7.452766666666666,3,28.68708762886598,86.06126288659794,0,2,822.9489966262356,7406.540969636121,1
130,1,3,6.975,6.975,3,45.0,135.0,3,0,2025.0,18225.0,0
131,1,3,7.8958,7.8958,3,33.0,99.0,3,0,1089.0,9801.0,0
132,1,3,7.05,7.05,3,20.0,60.0,3,0,400.0,3600.0,0
133,0,3,14.5,7.25,3,47.0,141.0,0,1,2209.0,19881.0,0
134,0,2,26.0,13.0,3,29.0,58.0,0,1,841.0,3364.0,1
135,1,2,13.0,13.0,3,25.0,50.0,2,0,625.0,2500.0,0
136,1,2,15.0458,15.0458,3,23.0,46.0,2,0,529.0,2116.0,0
137,0,1,26.2833,8.7611,3,19.0,19.0,0,2,361.0,361.0,1
138,1,1,53.1,26.55,3,37.0,37.0,1,1,1369.0,1369.0,0
139,1,3,9.2167,9.2167,3,16.0,48.0,3,0,256.0,2304.0,0
140,1,1,79.2,79.2,3,24.0,24.0,1,0,576.0,576.0,0
141,0,3,15.2458,5.081933333333333,3,28.68708762886598,86.06126288659794,0,2,822.9489966262356,7406.540969636121,0
142,0,3,7.75,7.75,3,22.0,66.0,0,0,484.0,4356.0,1
143,0,3,15.85,7.925,3,24.0,72.0,0,1,576.0,5184.0,1
144,1,3,6.75,6.75,3,19.0,57.0,3,0,361.0,3249.0,0
145,1,2,11.5,11.5,3,18.0,36.0,2,0,324.0,1296.0,0
146,1,2,36.75,12.25,3,19.0,38.0,2,2,361.0,1444.0,0
147,1,3,7.7958,7.7958,3,27.0,81.0,3,0,729.0,6561.0,1
148,0,3,34.375,6.875,3,9.0,27.0,0,4,81.0,729.0,0
149,1,2,26.0,8.666666666666666,3,36.5,73.0,2,2,1332.25,5329.0,0
150,1,2,13.0,13.0,0,42.0,84.0,2,0,1764.0,7056.0,0
151,1,2,12.525,12.525,0,51.0,102.0,2,0,2601.0,10404.0,0
152,0,1,66.6,33.3,3,22.0,22.0,0,1,484.0,484.0,1
153,1,3,8.05,8.05,3,55.5,166.5,3,0,3080.25,27722.25,0
154,1,3,14.5,4.833333333333333,3,40.5,121.5,3,2,1640.25,14762.25,0
155,1,3,7.3125,7.3125,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
156,1,1,61.3792,30.6896,3,51.0,51.0,1,1,2601.0,2601.0,0
157,0,3,7.7333,7.7333,3,16.0,48.0,0,0,256.0,2304.0,1
158,1,3,8.05,8.05,3,30.0,90.0,3,0,900.0,8100.0,0
159,1,3,8.6625,8.6625,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
160,1,3,69.55,6.322727272727272,3,30.58522796352584,91.75568389057752,3,10,935.4561695808429,8419.105526227586,0
161,1,3,16.1,8.05,3,44.0,132.0,3,1,1936.0,17424.0,0
162,0,2,15.75,15.75,3,40.0,80.0,0,0,1600.0,6400.0,1
163,1,3,7.775,7.775,3,26.0,78.0,3,0,676.0,6084.0,0
164,1,3,8.6625,8.6625,3,17.0,51.0,3,0,289.0,2601.0,0
165,1,3,39.6875,6.614583333333333,3,1.0,3.0,3,5,1.0,9.0,0
166,1,3,20.525,6.841666666666666,3,9.0,27.0,3,2,81.0,729.0,1
167,0,1,55.0,27.5,3,28.68708762886598,28.68708762886598,0,1,822.9489966262356,822.9489966262356,1
168,0,3,27.9,4.6499999999999995,3,45.0,135.0,0,5,2025.0,18225.0,0
169,1,1,25.925,25.925,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,0
170,1,3,56.4958,56.4958,3,28.0,84.0,3,0,784.0,7056.0,0
171,1,1,33.5,33.5,3,61.0,61.0,1,0,3721.0,3721.0,0
172,1,3,29.125,4.854166666666667,3,4.0,12.0,3,5,16.0,144.0,0
173,0,3,11.1333,3.7111,3,1.0,3.0,0,2,1.0,9.0,1
174,1,3,7.925,7.925,3,21.0,63.0,3,0,441.0,3969.0,0
175,1,1,30.6958,30.6958,3,56.0,56.0,1,0,3136.0,3136.0,0
176,1,3,7.8542,2.6180666666666665,3,18.0,54.0,3,2,324.0,2916.0,0
177,1,3,25.4667,5.0933399999999995,3,30.58522796352584,91.75568389057752,3,4,935.4561695808429,8419.105526227586,0
178,0,1,28.7125,28.7125,3,50.0,50.0,0,0,2500.0,2500.0,0
179,1,2,13.0,13.0,3,30.0,60.0,2,0,900.0,3600.0,0
180,1,3,0.0,0.0,3,36.0,108.0,3,0,1296.0,11664.0,0
181,0,3,69.55,6.322727272727272,3,28.68708762886598,86.06126288659794,0,10,822.9489966262356,7406.540969636121,0
182,1,2,15.05,15.05,3,30.58522796352584,61.17045592705168,2,0,935.4561695808429,3741.8246783233717,0
183,1,3,31.3875,4.483928571428572,3,9.0,27.0,3,6,81.0,729.0,0
184,1,2,39.0,9.75,3,1.0,2.0,2,3,1.0,4.0,1
185,0,3,22.025,7.341666666666666,3,4.0,12.0,0,2,16.0,144.0,1
186,1,1,50.0,50.0,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,0
187,0,3,15.5,7.75,3,28.68708762886598,86.06126288659794,0,1,822.9489966262356,7406.540969636121,1
188,1,1,26.55,26.55,3,45.0,45.0,1,0,2025.0,2025.0,1
189,1,3,15.5,5.166666666666667,3,40.0,120.0,3,2,1600.0,14400.0,0
190,1,3,7.8958,7.8958,3,36.0,108.0,3,0,1296.0,11664.0,0
191,0,2,13.0,13.0,3,32.0,64.0,0,0,1024.0,4096.0,1
192,1,2,13.0,13.0,3,19.0,38.0,2,0,361.0,1444.0,0
193,0,3,7.8542,3.9271,3,19.0,57.0,0,1,361.0,3249.0,1
194,1,2,26.0,8.666666666666666,3,3.0,6.0,2,2,9.0,36.0,1
195,0,1,27.7208,27.7208,3,44.0,44.0,0,0,1936.0,1936.0,1
196,0,1,146.5208,146.5208,3,58.0,58.0,0,0,3364.0,3364.0,1
197,1,3,7.75,7.75,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
198,1,3,8.4042,4.2021,3,42.0,126.0,3,1,1764.0,15876.0,0
199,0,3,7.75,7.75,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
200,0,2,13.0,13.0,3,24.0,48.0,0,0,576.0,2304.0,0
201,1,3,9.5,9.5,3,28.0,84.0,3,0,784.0,7056.0,0
202,1,3,69.55,6.322727272727272,3,30.58522796352584,91.75568389057752,3,10,935.4561695808429,8419.105526227586,0
203,1,3,6.4958,6.4958,3,34.0,102.0,3,0,1156.0,10404.0,0
204,1,3,7.225,7.225,3,45.5,136.5,3,0,2070.25,18632.25,0
205,1,3,8.05,8.05,3,18.0,54.0,3,0,324.0,2916.0,1
206,0,3,10.4625,5.23125,3,2.0,6.0,0,1,4.0,36.0,0
207,1,3,15.85,7.925,3,32.0,96.0,3,1,1024.0,9216.0,0
208,1,3,18.7875,18.7875,3,26.0,78.0,3,0,676.0,6084.0,1
209,0,3,7.75,7.75,3,16.0,48.0,0,0,256.0,2304.0,1
210,1,1,31.0,31.0,3,40.0,40.0,1,0,1600.0,1600.0,1
211,1,3,7.05,7.05,3,24.0,72.0,3,0,576.0,5184.0,0
212,0,2,21.0,21.0,3,35.0,70.0,0,0,1225.0,4900.0,1
213,1,3,7.25,7.25,3,22.0,66.0,3,0,484.0,4356.0,0
214,1,2,13.0,13.0,3,30.0,60.0,2,0,900.0,3600.0,0
215,1,3,7.75,3.875,3,30.58522796352584,91.75568389057752,3,1,935.4561695808429,8419.105526227586,0
216,0,1,113.275,56.6375,3,31.0,31.0,0,1,961.0,961.0,1
217,0,3,7.925,7.925,3,27.0,81.0,0,0,729.0,6561.0,1
218,1,2,27.0,13.5,3,42.0,84.0,2,1,1764.0,7056.0,0
219,0,1,76.2917,76.2917,3,32.0,32.0,0,0,1024.0,1024.0,1
220,1,2,10.5,10.5,3,30.0,60.0,2,0,900.0,3600.0,0
221,1,3,8.05,8.05,3,16.0,48.0,3,0,256.0,2304.0,1
222,1,2,13.0,13.0,3,27.0,54.0,2,0,729.0,2916.0,0
223,1,3,8.05,8.05,3,51.0,153.0,3,0,2601.0,23409.0,0
224,1,3,7.8958,7.8958,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
225,1,1,90.0,45.0,3,38.0,38.0,1,1,1444.0,1444.0,1
226,1,3,9.35,9.35,3,22.0,66.0,3,0,484.0,4356.0,0
227,1,2,10.5,10.5,3,19.0,38.0,2,0,361.0,1444.0,1
228,1,3,7.25,7.25,3,20.5,61.5,3,0,420.25,3782.25,0
229,1,2,13.0,13.0,3,18.0,36.0,2,0,324.0,1296.0,0
230,0,3,25.4667,5.0933399999999995,3,28.68708762886598,86.06126288659794,0,4,822.9489966262356,7406.540969636121,0
231,0,1,83.475,41.7375,3,35.0,35.0,0,1,1225.0,1225.0,1
232,1,3,7.775,7.775,3,29.0,87.0,3,0,841.0,7569.0,0
233,1,2,13.5,13.5,3,59.0,118.0,2,0,3481.0,13924.0,0
234,0,3,31.3875,4.483928571428572,3,5.0,15.0,0,6,25.0,225.0,1
235,1,2,10.5,10.5,3,24.0,48.0,2,0,576.0,2304.0,0
236,0,3,7.55,7.55,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,0
237,1,2,26.0,13.0,3,44.0,88.0,2,1,1936.0,7744.0,0
238,0,2,26.25,8.75,3,8.0,16.0,0,2,64.0,256.0,1
239,1,2,10.5,10.5,3,19.0,38.0,2,0,361.0,1444.0,0
240,1,2,12.275,12.275,3,33.0,66.0,2,0,1089.0,4356.0,0
241,0,3,14.4542,7.2271,3,28.68708762886598,86.06126288659794,0,1,822.9489966262356,7406.540969636121,0
242,0,3,15.5,7.75,3,28.68708762886598,86.06126288659794,0,1,822.9489966262356,7406.540969636121,1
243,1,2,10.5,10.5,3,29.0,58.0,2,0,841.0,3364.0,0
244,1,3,7.125,7.125,3,22.0,66.0,3,0,484.0,4356.0,0
245,1,3,7.225,7.225,3,30.0,90.0,3,0,900.0,8100.0,0
246,1,1,90.0,30.0,1,44.0,44.0,1,2,1936.0,1936.0,0
247,0,3,7.775,7.775,3,25.0,75.0,0,0,625.0,5625.0,0
248,0,2,14.5,4.833333333333333,3,24.0,48.0,0,2,576.0,2304.0,1
249,1,1,52.5542,17.518066666666666,3,37.0,37.0,1,2,1369.0,1369.0,1
250,1,2,26.0,13.0,0,54.0,108.0,2,1,2916.0,11664.0,0
251,1,3,7.25,7.25,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
252,0,3,10.4625,3.4875000000000003,3,29.0,87.0,0,2,841.0,7569.0,0
253,1,1,26.55,26.55,3,62.0,62.0,1,0,3844.0,3844.0,0
254,1,3,16.1,8.05,3,30.0,90.0,3,1,900.0,8100.0,0
255,0,3,20.2125,6.7375,3,41.0,123.0,0,2,1681.0,15129.0,0
256,0,3,15.2458,5.081933333333333,3,29.0,87.0,0,2,841.0,7569.0,1
257,0,1,79.2,79.2,3,28.68708762886598,28.68708762886598,0,0,822.9489966262356,822.9489966262356,1
258,0,1,86.5,86.5,3,30.0,30.0,0,0,900.0,900.0,1
259,0,1,512.3292,512.3292,3,35.0,35.0,0,0,1225.0,1225.0,1
260,0,2,26.0,13.0,3,50.0,100.0,0,1,2500.0,10000.0,1
261,1,3,7.75,7.75,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
262,1,3,31.3875,4.483928571428572,3,3.0,9.0,3,6,9.0,81.0,1
263,1,1,79.65,26.55,3,52.0,52.0,1,2,2704.0,2704.0,0
264,1,1,0.0,0.0,3,40.0,40.0,1,0,1600.0,1600.0,0
265,0,3,7.75,7.75,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,0
266,1,2,10.5,10.5,3,36.0,72.0,2,0,1296.0,5184.0,0
267,1,3,39.6875,6.614583333333333,3,16.0,48.0,3,5,256.0,2304.0,0
268,1,3,7.775,3.8875,3,25.0,75.0,3,1,625.0,5625.0,1
269,0,1,153.4625,76.73125,3,58.0,58.0,0,1,3364.0,3364.0,1
270,0,1,135.6333,135.6333,3,35.0,35.0,0,0,1225.0,1225.0,1
271,1,1,31.0,31.0,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,0
272,1,3,0.0,0.0,3,25.0,75.0,3,0,625.0,5625.0,1
273,0,2,19.5,9.75,3,41.0,82.0,0,1,1681.0,6724.0,1
274,1,1,29.7,14.85,3,37.0,37.0,1,1,1369.0,1369.0,0
275,0,3,7.75,7.75,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
276,0,1,77.9583,38.97915,3,63.0,63.0,0,1,3969.0,3969.0,1
277,0,3,7.75,7.75,3,45.0,135.0,0,0,2025.0,18225.0,0
278,1,2,0.0,0.0,3,30.58522796352584,61.17045592705168,2,0,935.4561695808429,3741.8246783233717,0
279,1,3,29.125,4.854166666666667,3,7.0,21.0,3,5,49.0,441.0,0
280,0,3,20.25,6.75,3,35.0,105.0,0,2,1225.0,11025.0,1
281,1,3,7.75,7.75,3,65.0,195.0,3,0,4225.0,38025.0,0
282,1,3,7.8542,7.8542,3,28.0,84.0,3,0,784.0,7056.0,0
283,1,3,9.5,9.5,3,16.0,48.0,3,0,256.0,2304.0,0
284,1,3,8.05,8.05,3,19.0,57.0,3,0,361.0,3249.0,1
285,1,1,26.0,26.0,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,0
286,1,3,8.6625,8.6625,3,33.0,99.0,3,0,1089.0,9801.0,0
287,1,3,9.5,9.5,3,30.0,90.0,3,0,900.0,8100.0,1
288,1,3,7.8958,7.8958,3,22.0,66.0,3,0,484.0,4356.0,0
289,1,2,13.0,13.0,3,42.0,84.0,2,0,1764.0,7056.0,1
290,0,3,7.75,7.75,3,22.0,66.0,0,0,484.0,4356.0,1
291,0,1,78.85,78.85,3,26.0,26.0,0,0,676.0,676.0,1
292,0,1,91.0792,45.5396,3,19.0,19.0,0,1,361.0,361.0,1
293,1,2,12.875,12.875,3,36.0,72.0,2,0,1296.0,5184.0,0
294,0,3,8.85,8.85,3,24.0,72.0,0,0,576.0,5184.0,0
295,1,3,7.8958,7.8958,3,24.0,72.0,3,0,576.0,5184.0,0
296,1,1,27.7208,27.7208,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,0
297,1,3,7.2292,7.2292,3,23.5,70.5,3,0,552.25,4970.25,0
298,0,1,151.55,37.8875,3,2.0,2.0,0,3,4.0,4.0,0
299,1,1,30.5,30.5,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,1
300,0,1,247.5208,123.7604,3,50.0,50.0,0,1,2500.0,2500.0,1
301,0,3,7.75,7.75,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
302,1,3,23.25,7.75,3,30.58522796352584,91.75568389057752,3,2,935.4561695808429,8419.105526227586,1
303,1,3,0.0,0.0,3,19.0,57.0,3,0,361.0,3249.0,0
304,0,2,12.35,12.35,3,28.68708762886598,57.37417525773196,0,0,822.9489966262356,3291.7959865049424,1
305,1,3,8.05,8.05,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
306,1,1,151.55,37.8875,3,0.92,0.92,1,3,0.8464,0.8464,1
307,0,1,110.8833,110.8833,3,28.68708762886598,28.68708762886598,0,0,822.9489966262356,822.9489966262356,1
308,0,1,108.9,54.45,3,17.0,17.0,0,1,289.0,289.0,1
309,1,2,24.0,12.0,3,30.0,60.0,2,1,900.0,3600.0,0
310,0,1,56.9292,56.9292,3,30.0,30.0,0,0,900.0,900.0,1
311,0,1,83.1583,83.1583,3,24.0,24.0,0,0,576.0,576.0,1
312,0,1,262.375,52.475,3,18.0,18.0,0,4,324.0,324.0,1
313,0,2,26.0,8.666666666666666,3,26.0,52.0,0,2,676.0,2704.0,0
314,1,3,7.8958,7.8958,3,28.0,84.0,3,0,784.0,7056.0,0
315,1,2,26.25,8.75,3,43.0,86.0,2,2,1849.0,7396.0,0
316,0,3,7.8542,7.8542,3,26.0,78.0,0,0,676.0,6084.0,1
317,0,2,26.0,13.0,3,24.0,48.0,0,1,576.0,2304.0,1
318,1,2,14.0,14.0,1,54.0,108.0,2,0,2916.0,11664.0,0
319,0,1,164.8667,54.95556666666667,3,31.0,31.0,0,2,961.0,961.0,1
